"Export for HP:0000118"
"Gene","Associated diseases"
"SCZD3 (6365)","SCHIZOPHRENIA 3 (OMIM:600511)"
"DFNA49 (317664)","DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:608372)"
"DHTKD1 (55526)","2-@AMINOADIPIC 2-OXOADIPIC ACIDURIA (OMIM:204750), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:615025)"
"SCZD1 (6377)","SCHIZOPHRENIA 1 (OMIM:181510)"
"SLC30A10 (55532)","HYPERMANGANESEMIA WITH DYSTONIA, POLYCYT... (OMIM:613280)"
"NYS4 (317685)","NYSTAGMUS 4, CONGENITAL, AUTOSOMAL DOMIN... (OMIM:193003)"
"SDHA (6389)","MITOCHONDRIAL COMPLEX II DEFICIENCY (OMIM:252011), PARAGANGLIOMAS 5 (OMIM:614165), CARDIOMYOPATHY, DILATED, 1GG (OMIM:613642), LEIGH SYNDROME (OMIM:256000)"
"SDHB (6390)","PARAGANGLIOMAS 4 (OMIM:115310), COWDEN-LIKE SYNDROME (OMIM:612359), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), CARNEY-STRATAKIS SYNDROME (OMIM:606864), PHEOCHROMOCYTOMA (OMIM:171300)"
"SDHC (6391)","PARAGANGLIOMAS 3 (OMIM:605373), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), CARNEY-STRATAKIS SYNDROME (OMIM:606864)"
"SDHD (6392)","MITOCHONDRIAL COMPLEX II DEFICIENCY (OMIM:252011), CARCINOID TUMORS, INTESTINAL (OMIM:114900), COWDEN SYNDROME 3 (OMIM:615106), PARAGANGLIOMAS 1 (OMIM:168000), CARNEY-STRATAKIS SYNDROME (OMIM:606864), PHEOCHROMOCYTOMA (OMIM:171300)"
"TRAPPC2 (6399)","SPONDYLOEPIPHYSEAL DYSPLASIA TARDA, X-LI... (OMIM:313400)"
"LKMCD (100302058)","LEUKOENCEPHALOPATHY WITH METAPHYSEAL CHO... (OMIM:300660)"
"SPG41 (100359402)","SPASTIC PARAPLEGIA 41, AUTOSOMAL DOMINAN... (OMIM:613364)"
"FRAS1 (80144)","FRASER SYNDROME (OMIM:219000)"
"MYP17 (100359401)","MYOPIA 17 (OMIM:608367)"
"KLHL10 (317719)","SPERMATOGENIC FAILURE 11 (OMIM:615081)"
"FOXRED1 (55572)","LEIGH SYNDROME (OMIM:256000), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"MYP18 (100359406)","MYOPIA, INFANTILE SEVERE (OMIM:255500)"
"VPS37A (137492)","SPASTIC PARAPLEGIA 53, AUTOSOMAL RECESSI... (OMIM:614898)"
"EIG3 (432400)","EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEP... (OMIM:608762)"
"DYT15 (317714)","DYSTONIA 15, MYOCLONIC (OMIM:607488)"
"DFNA58 (100359395)","DEAFNESS, AUTOSOMAL DOMINANT 58 (OMIM:615654)"
"EDC3 (80153)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:616460)"
"SCA30 (100359393)","SPINOCEREBELLAR ATAXIA 30 (OMIM:613371)"
"MBS3 (22811)","FACIAL PARESIS, HEREDITARY, CONGENITAL (OMIM:604185)"
"SFTPB (6439)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:265120)"
"SFTPC (6440)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:610913)"
"CTC1 (80169)","CEREBRORETINAL MICROANGIOPATHY WITH CALC... (OMIM:612199)"
"SFTPD (6441)","SURFACTANT, PULMONARY-ASSOCIATED PROTEIN... (OMIM:178635)"
"SGCA (6442)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2D (OMIM:608099)"
"PUF60 (22827)","VERHEIJ SYNDROME (OMIM:615583)"
"SGCB (6443)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2E (OMIM:604286)"
"SGCD (6444)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2F (OMIM:601287), CARDIOMYOPATHY, DILATED, 1L (OMIM:606685)"
"SGCG (6445)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2C (OMIM:253700)"
"SGSH (6448)","MUCOPOLYSACCHARIDOSIS TYPE IIIA (OMIM:252900)"
"IS1 (260402)","SCOLIOSIS, IDIOPATHIC, SUSCEPTIBILITY TO... (OMIM:181800)"
"SH3BP2 (6452)","CHERUBISM (OMIM:118400)"
"KIF21A (55605)","FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:135700)"
"SH3GL1 (6455)","LEUKEMIA, ACUTE MYELOID (OMIM:601626)"
"TTI2 (80185)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615541)"
"CEP290 (80184)","JOUBERT SYNDROME 5 (OMIM:610188), BARDET-BIEDL SYNDROME 14 (OMIM:615991), LEBER CONGENITAL AMAUROSIS 10 (OMIM:611755), SENIOR-LOKEN SYNDROME 6 (OMIM:610189), MECKEL SYNDROME, TYPE 4 (OMIM:611134)"
"SCASI (260415)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:607317)"
"ARX (170302)","MENTAL RETARDATION, X-LINKED, WITH OR WI... (OMIM:300419), CORPUS CALLOSUM, AGENESIS OF, WITH ABNOR... (OMIM:300004), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:308350), LISSENCEPHALY, X-LINKED, 2 (OMIM:300215), PARTINGTON X-LINKED MENTAL RETARDATION S... (OMIM:309510)"
"FERMT1 (55612)","KINDLER SYNDROME (OMIM:173650)"
"DOLK (22845)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:610768)"
"TUBB (203068)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615771)"
"SHFM2 (6463)","SPLIT-HAND/FOOT MALFORMATION 2 (OMIM:313350)"
"ANKRD26 (22852)","THROMBOCYTOPENIA 2 (OMIM:188000)"
"SHH (6469)","SCHIZENCEPHALY (OMIM:269160), MICROPHTHALMIA, ISOLATED, WITH COLOBOMA ... (OMIM:611638), HOLOPROSENCEPHALY 3 (OMIM:142945), SOLITARY MEDIAN MAXILLARY CENTRAL INCISO... (OMIM:147250)"
"FUZ (80199)","NEURAL TUBE DEFECTS (OMIM:182940)"
"CHSY1 (22856)","TEMTAMY PREAXIAL BRACHYDACTYLY SYNDROME (OMIM:605282)"
"POMGNT1 (55624)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613151), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:253280), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:613157)"
"SHOX (6473)","LANGER MESOMELIC DYSPLASIA (OMIM:249700), SHORT STATURE, IDIOPATHIC, X-LINKED (OMIM:300582), LERI-WEILL DYSCHONDROSTEOSIS (OMIM:127300)"
"MGR6 (317773)","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIB... (OMIM:607516)"
"ICK (22858)","ENDOCRINE-CEREBROOSTEODYSPLASIA (OMIM:612651)"
"COPD (260431)","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE (OMIM:606963)"
"SI (6476)","SUCRASE-ISOMALTASE DEFICIENCY, CONGENITA... (OMIM:222900)"
"NLRP1 (22861)","VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE ... (OMIM:606579), CORNEAL INTRAEPITHELIAL DYSKERATOSIS AND... (OMIM:615225)"
"OPA3 (80207)","OPTIC ATROPHY 3, AUTOSOMAL DOMINANT (OMIM:165300), 3-@METHYLGLUTACONIC ACIDURIA, TYPE III (OMIM:258501)"
"SLC39A4 (55630)","ACRODERMATITIS ENTEROPATHICA, ZINC-DEFIC... (OMIM:201100)"
"SPG11 (80208)","SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSI... (OMIM:604360)"
"SLSN3 (260432)","SENIOR-LOKEN SYNDROME 3 (OMIM:606995)"
"FASTKD2 (22868)","MITOCHONDRIAL COMPLEX IV DEFICIENCY (OMIM:220110)"
"CHD7 (55636)","CHARGE SYNDROME (OMIM:214800), HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR ... (OMIM:612370)"
"CHDT3 (101154642)","CONGENITAL HEART DEFECTS, MULTIPLE TYPES... (OMIM:614954)"
"ST3GAL3 (6487)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:615006), MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:611090)"
"FLVCR2 (55640)","PROLIFERATIVE VASCULOPATHY AND HYDRANENC... (OMIM:225790)"
"STIL (6491)","MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECES... (OMIM:612703)"
"SIM1 (6492)","OBESITY (OMIM:601665)"
"SIX1 (6495)","DEAFNESS, AUTOSOMAL DOMINANT 23 (OMIM:605192), BRANCHIOOTIC SYNDROME 3 (OMIM:608389)"
"TARS2 (80222)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:615918)"
"SIX3 (6496)","HOLOPROSENCEPHALY 2 (OMIM:157170), SCHIZENCEPHALY (OMIM:269160)"
"SKI (6497)","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYN... (OMIM:182212)"
"NUBPL (80224)","MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"PIGV (55650)","HYPERPHOSPHATASIA WITH MENTAL RETARDATIO... (OMIM:239300)"
"SKIV2L (6499)","TRICHOHEPATOENTERIC SYNDROME 2 (OMIM:614602)"
"NHP2 (55651)","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:613987)"
"SLC1A1 (6505)","DICARBOXYLICAMINO ACIDURIA (OMIM:222730)"
"SLC1A3 (6507)","EPISODIC ATAXIA, TYPE 6 (OMIM:612656)"
"CEP164 (22897)","NEPHRONOPHTHISIS 15 (OMIM:614845)"
"SLC2A1 (6513)","GLUT1 DEFICIENCY SYNDROME 2 (OMIM:612126), DYSTONIA 9 (OMIM:601042), GLUT1 DEFICIENCY SYNDROME 1 (OMIM:606777)"
"SLC2A2 (6514)","FANCONI-BICKEL SYNDROME (OMIM:227810)"
"PEX26 (55670)","PEROXISOME BIOGENESIS DISORDER 7A (ZELLW... (OMIM:614872), PEROXISOME BIOGENESIS DISORDER 7B (OMIM:614873)"
"SLC3A1 (6519)","CYSTINURIA (OMIM:220100)"
"SLC4A1 (6521)","SPHEROCYTOSIS, TYPE 4 (OMIM:612653), SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER... (OMIM:109270), RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMA... (OMIM:179800), RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEM... (OMIM:611590)"
"SLC5A1 (6523)","GLUCOSE/GALACTOSE MALABSORPTION (OMIM:606824)"
"SLC5A2 (6524)","RENAL GLUCOSURIA (OMIM:233100)"
"FAN1 (22909)","INTERSTITIAL NEPHRITIS, KARYOMEGALIC (OMIM:614817)"
"CEP63 (80254)","SECKEL SYNDROME 6 (OMIM:614728)"
"SLC5A5 (6528)","THYROID HORMONOGENESIS, GENETIC DEFECT I... (OMIM:274400)"
"SLC6A1 (6529)","MYOCLONIC-ATONIC EPILEPSY (OMIM:616421)"
"SLC6A2 (6530)","ORTHOSTATIC INTOLERANCE (OMIM:604715)"
"SLC6A3 (6531)","PARKINSONISM-DYSTONIA, INFANTILE (OMIM:613135)"
"ZP1 (22917)","OOCYTE MATURATION DEFECT (OMIM:615774)"
"TRMU (55687)","LIVER FAILURE, INFANTILE, TRANSIENT (OMIM:613070)"
"SLC6A8 (6535)","CEREBRAL CREATINE DEFICIENCY SYNDROME 1 (OMIM:300352)"
"PACS1 (55690)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:615009)"
"HSD3B7 (80270)","BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:607765)"
"RAB3GAP1 (22930)","WARBURG MICRO SYNDROME 1 (OMIM:600118)"
"RAB18 (22931)","WARBURG MICRO SYNDROME 3 (OMIM:614222)"
"IARS2 (55699)","CATARACTS, GROWTH HORMONE DEFICIENCY, SE... (OMIM:616007)"
"SLC9A1 (6548)","LICHTENSTEIN-KNORR SYNDROME (OMIM:616291)"
"VIPAS39 (63894)","ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND C... (OMIM:613404)"
"RPIA (22934)","RIBOSE 5-PHOSPHATE ISOMERASE DEFICIENCY (OMIM:608611)"
"PIEZO2 (63895)","MARDEN-WALKER SYNDROME (OMIM:248700), ARTHROGRYPOSIS, DISTAL, TYPE 5 (OMIM:108145), ARTHROGRYPOSIS, DISTAL, TYPE 3 (OMIM:114300)"
"POLR3B (55703)","LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH... (OMIM:614381)"
"SLC10A2 (6555)","BILE ACID MALABSORPTION, PRIMARY (OMIM:613291)"
"FAM111A (63901)","KENNY-CAFFEY SYNDROME, TYPE 2 (OMIM:127000), GRACILE BONE DYSPLASIA (OMIM:602361)"
"SLC12A1 (6557)","BARTTER SYNDROME, ANTENATAL, TYPE 1 (OMIM:601678)"
"SLC12A3 (6559)","GITELMAN SYNDROME (OMIM:263800)"
"MIR17HG (407975)","FEINGOLD SYNDROME 2 (OMIM:614326)"
"TENM3 (55714)","MICROPHTHALMIA, ISOLATED, WITH COLOBOMA ... (OMIM:615145)"
"CCT5 (22948)","NEUROPATHY, HEREDITARY SENSORY, WITH SPA... (OMIM:256840)"
"WDR11 (55717)","HYPOGONADOTROPIC HYPOGONADISM 14 WITH OR... (OMIM:614858)"
"SLC17A9 (63910)","POROKERATOSIS 8, DISSEMINATED SUPERFICIA... (OMIM:616063)"
"SLC16A1 (6566)","HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL,... (OMIM:610021), MONOCARBOXYLATE TRANSPORTER 1 DEFICIENCY (OMIM:616095), ERYTHROCYTE LACTATE TRANSPORTER DEFECT (OMIM:245340)"
"SLC16A2 (6567)","ALLAN-HERNDON-DUDLEY SYNDROME (OMIM:300523)"
"P2RX2 (22953)","DEAFNESS, AUTOSOMAL DOMINANT 41 (OMIM:608224)"
"SLC34A1 (6569)","FANCONI RENOTUBULAR SYNDROME 2 (OMIM:613388), NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPH... (OMIM:612286)"
"TRIM32 (22954)","BARDET-BIEDL SYNDROME 11 (OMIM:615988), MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2H (OMIM:254110)"
"SLC20A2 (6575)","BASAL GANGLIA CALCIFICATION, IDIOPATHIC,... (OMIM:213600)"
"SLC25A1 (6576)","COMBINED D-2- AND L-2-HYDROXYGLUTARIC AC... (OMIM:615182)"
"SLCO2A1 (6578)","HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, ... (OMIM:614441)"
"CIDEC (63924)","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5 (OMIM:615238)"
"ZNF335 (63925)","MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECE... (OMIM:615095)"
"SLC22A5 (6584)","CARNITINE DEFICIENCY, SYSTEMIC PRIMARY (OMIM:212140)"
"XPNPEP3 (63929)","NEPHRONOPHTHISIS-LIKE NEPHROPATHY 1 (OMIM:613159)"
"SNAI2 (6591)","PIEBALD TRAIT (OMIM:172800), WAARDENBURG SYNDROME, TYPE 2D (OMIM:608890)"
"NT5C2 (22978)","SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSI... (OMIM:613162)"
"SMARCA2 (6595)","NICOLAIDES-BARAITSER SYNDROME (OMIM:601358)"
"DFNA54 (448962)","DEAFNESS, AUTOSOMAL DOMINANT 54 (OMIM:615649)"
"SMARCA4 (6597)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614609)"
"PUS1 (80324)","MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLA... (OMIM:600462)"
"DFNB51 (448963)","DEAFNESS, AUTOSOMAL RECESSIVE 51 (OMIM:609941)"
"SMARCB1 (6598)","RHABDOID TUMOR PREDISPOSITION SYNDROME 1 (OMIM:609322), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614608)"
"AGK (55750)","CATARACT, AUTOSOMAL RECESSIVE CONGENITAL... (OMIM:614691), SENGERS SYNDROME (OMIM:212350)"
"PPKP1B (101154752)","KERATODERMA, PALMOPLANTAR, PUNCTATE TYPE... (OMIM:614936)"
"WNT10A (80326)","TOOTH AGENESIS, SELECTIVE, 4 (OMIM:150400), SCHOPF-SCHULZ-PASSARGE SYNDROME (OMIM:224750), ODONTOONYCHODERMAL DYSPLASIA (OMIM:257980)"
"SCZD10 (63944)","SCHIZOPHRENIA 10 (OMIM:605419)"
"DNAJC5 (80331)","CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUT... (OMIM:162350)"
"CDK5RAP2 (55755)","MICROCEPHALY 3, PRIMARY, AUTOSOMAL RECES... (OMIM:604804)"
"SMN1 (6606)","SPINAL MUSCULAR ATROPHY, TYPE II (OMIM:253550), SPINAL MUSCULAR ATROPHY, TYPE IV (OMIM:271150), SPINAL MUSCULAR ATROPHY, TYPE III (OMIM:253400), SPINAL MUSCULAR ATROPHY, TYPE I (OMIM:253300)"
"NDUFAF6 (137682)","LEIGH SYNDROME (OMIM:256000)"
"SMPD1 (6609)","NIEMANN-PICK DISEASE, TYPE A (OMIM:257200), NIEMANN-PICK DISEASE, TYPE B (OMIM:607616)"
"MESP2 (145873)","SPONDYLOCOSTAL DYSOSTOSIS 2, AUTOSOMAL R... (OMIM:608681)"
"CEP152 (22995)","SECKEL SYNDROME 5 (OMIM:613823), MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECES... (OMIM:614852)"
"SMS (6611)","MENTAL RETARDATION, X-LINKED, SNYDER-ROB... (OMIM:309583)"
"IFT122 (55764)","CRANIOECTODERMAL DYSPLASIA 1 (OMIM:218330)"
"RIMS1 (22999)","CONE-ROD DYSTROPHY 7 (OMIM:603649)"
"SNAP25 (6616)","MYASTHENIC SYNDROME, CONGENITAL, 18 (OMIM:616330)"
"NGLY1 (55768)","CONGENITAL DISORDER OF DEGLYCOSYLATION (OMIM:615273)"
"COASY (80347)","NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:615643)"
"SNCB (6620)","DEMENTIA, LEWY BODY (OMIM:127750)"
"SNCA (6622)","PARKINSON DISEASE 4, AUTOSOMAL DOMINANT ... (OMIM:605543), DEMENTIA, LEWY BODY (OMIM:127750), PARKINSON DISEASE 1, AUTOSOMAL DOMINANT (OMIM:168601)"
"C9ORF72 (203228)","AMYOTROPHIC LATERAL SCLEROSIS AND/OR FRO... (OMIM:105550)"
"TDP1 (55775)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:607250)"
"OCLN (100506658)","BAND-LIKE CALCIFICATION WITH SIMPLIFIED ... (OMIM:251290)"
"MBD5 (55777)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1 (OMIM:156200)"
"SNRPB (6628)","CEREBROCOSTOMANDIBULAR SYNDROME (OMIM:117650)"
"ERMARD (55780)","PERIVENTRICULAR NODULAR HETEROTOPIA 6 (OMIM:615544)"
"HFM (170474)","HEMIFACIAL MICROSOMIA (OMIM:164210)"
"PRDM16 (63976)","LEFT VENTRICULAR NONCOMPACTION 8 (OMIM:615373)"
"SNRPE (6635)","HYPOTRICHOSIS 11 (OMIM:615059)"
"LMBRD1 (55788)","METHYLMALONIC ACIDURIA AND HOMOCYSTINURI... (OMIM:277380)"
"SNRNP200 (23020)","RETINITIS PIGMENTOSA 33 (OMIM:610359)"
"SNRPN (6638)","PRADER-WILLI SYNDROME (OMIM:176270)"
"ANO3 (63982)","DYSTONIA 24 (OMIM:615034)"
"SNTA1 (6640)","LONG QT SYNDROME 12 (OMIM:612955)"
"SOD1 (6647)","AMYOTROPHIC LATERAL SCLEROSIS 1 (OMIM:105400)"
"SCN3B (55800)","BRUGADA SYNDROME 7 (OMIM:613120)"
"SP7 (121340)","OSTEOGENESIS IMPERFECTA, TYPE XII (OMIM:613849)"
"SOS1 (6654)","NOONAN SYNDROME 4 (OMIM:610733), FIBROMATOSIS, GINGIVAL, 1 (OMIM:135300)"
"HR (55806)","ATRICHIA WITH PAPULAR LESIONS (OMIM:209500), ALOPECIA UNIVERSALIS CONGENITA (OMIM:203655), MARIE UNNA HEREDITARY HYPOTRICHOSIS 1 (OMIM:146550)"
"SOX2 (6657)","MICROPHTHALMIA, SYNDROMIC 3 (OMIM:206900)"
"SOX3 (6658)","PANHYPOPITUITARISM, X-LINKED (OMIM:312000), MENTAL RETARDATION, X-LINKED, WITH PANHY... (OMIM:300123)"
"SPATA7 (55812)","LEBER CONGENITAL AMAUROSIS 3 (OMIM:604232)"
"SOX9 (6662)","CAMPOMELIC DYSPLASIA (OMIM:114290)"
"SOX10 (6663)","WAARDENBURG SYNDROME, TYPE 2E (OMIM:611584), PERIPHERAL DEMYELINATING NEUROPATHY, CEN... (OMIM:609136), WAARDENBURG SYNDROME, TYPE 4C (OMIM:613266)"
"CERKL (375298)","RETINITIS PIGMENTOSA 26 (OMIM:608380)"
"SOX11 (6664)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615866)"
"DFNA52 (170507)","DEAFNESS, AUTOSOMAL DOMINANT 52 (OMIM:607683)"
"SPAG1 (6674)","CILIARY DYSKINESIA, PRIMARY, 28 (OMIM:615505)"
"ANKS6 (203286)","NEPHRONOPHTHISIS 16 (OMIM:615382)"
"SPARC (6678)","OSTEOGENESIS IMPERFECTA, TYPE XVII (OMIM:616507)"
"EOGT (285203)","ADAMS-OLIVER SYNDROME 4 (OMIM:615297)"
"SETX (23064)","AMYOTROPHIC LATERAL SCLEROSIS 4, JUVENIL... (OMIM:602433), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:606002)"
"DIS3L2 (129563)","PERLMAN SYNDROME (OMIM:267000)"
"ADAT3 (113179)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615286)"
"SPAST (6683)","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT (OMIM:182601)"
"CENPJ (55835)","MICROCEPHALY 6, PRIMARY, AUTOSOMAL RECES... (OMIM:608393), SECKEL SYNDROME 4 (OMIM:613676)"
"SPG7 (6687)","SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIV... (OMIM:607259)"
"SPINK1 (6690)","TROPICAL CALCIFIC PANCREATITIS (OMIM:608189), PANCREATITIS, HEREDITARY (OMIM:167800)"
"CHST14 (113189)","EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTU... (OMIM:601776)"
"OTSC3 (170532)","OTOSCLEROSIS 3 (OMIM:608244)"
"SPR (6697)","DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAP... (OMIM:612716)"
"PSENEN (55851)","ACNE INVERSA, FAMILIAL, 2 (OMIM:613736)"
"KRT74 (121391)","WOOLLY HAIR, AUTOSOMAL DOMINANT (OMIM:194300), ECTODERMAL DYSPLASIA 7, HAIR/NAIL TYPE (OMIM:614929), HYPOTRICHOSIS 3 (OMIM:613981)"
"EXPH5 (23086)","EPIDERMOLYSIS BULLOSA, NONSPECIFIC, AUTO... (OMIM:615028)"
"KIZ (55857)","RETINITIS PIGMENTOSA 69 (OMIM:615780)"
"TMEM165 (55858)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614727)"
"ZNF423 (23090)","NEPHRONOPHTHISIS 14 (OMIM:614844)"
"ARHGAP26 (23092)","JUVENILE MYELOMONOCYTIC LEUKEMIA (OMIM:607785)"
"SPTA1 (6708)","ELLIPTOCYTOSIS 2 (OMIM:130600), PYROPOIKILOCYTOSIS, HEREDITARY (OMIM:266140), SPHEROCYTOSIS, AUTOSOMAL RECESSIVE (OMIM:270970)"
"TTLL5 (23093)","CONE-ROD DYSTROPHY 19 (OMIM:615860)"
"SPTAN1 (6709)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:613477)"
"SPTB (6710)","SPECTRIN, BETA, ERYTHROCYTIC (OMIM:182870)"
"KIF1B (23095)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:118210), PHEOCHROMOCYTOMA (OMIM:171300)"
"SPTBN2 (6712)","SPINOCEREBELLAR ATAXIA 5 (OMIM:600224), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:615386)"
"IQSEC2 (23096)","MENTAL RETARDATION, X-LINKED 1 (OMIM:309530)"
"SRD5A2 (6716)","PSEUDOVAGINAL PERINEOSCROTAL HYPOSPADIAS (OMIM:264600)"
"HDAC8 (55869)","CORNELIA DE LANGE SYNDROME 5 (OMIM:300882), WILSON-TURNER X-LINKED MENTAL RETARDATIO... (OMIM:309585)"
"AKR1D1 (6718)","BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:235555)"
"ATOD1 (64069)","DERMATITIS, ATOPIC (OMIM:603165)"
"SPG20 (23111)","SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSI... (OMIM:275900)"
"CDH23 (64072)","USHER SYNDROME, TYPE ID (OMIM:601067), DEAFNESS, AUTOSOMAL RECESSIVE 12 (OMIM:601386)"
"SRP72 (6731)","BONE MARROW FAILURE, FAMILIAL (OMIM:614675)"
"TAB2 (23118)","CONGENITAL HEART DISEASE, MULTIPLE TYPES... (OMIM:614980)"
"SRY (6736)","46,XX SEX REVERSAL 1 (OMIM:400045), 46,XY SEX REVERSAL 1 (OMIM:400044)"
"SLC46A1 (113235)","FOLATE MALABSORPTION, HEREDITARY (OMIM:229050)"
"NKX2-6 (137814)","CONOTRUNCAL HEART MALFORMATIONS (OMIM:217095)"
"POGZ (23126)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616364)"
"MCCC2 (64087)","3-@METHYLCROTONYL-COA CARBOXYLASE 2 DEFI... (OMIM:210210)"
"STOX1 (219736)","PREECLAMPSIA/ECLAMPSIA 4 (OMIM:609404)"
"SSR4 (6748)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:300934)"
"PHF8 (23133)","X-LINKED INTELLECTUAL DISABILITY, SIDERI... (OMIM:300263)"
"SMOC1 (64093)","MICROPHTHALMIA WITH LIMB ANOMALIES (OMIM:206920)"
"SMOC2 (64094)","DENTIN DYSPLASIA, TYPE I (OMIM:125400)"
"C12ORF57 (113246)","TEMTAMY SYNDROME (OMIM:218340)"
"ZC4H2 (55906)","WIEACKER-WOLFF SYNDROME (OMIM:314580)"
"SSX1 (6756)","SARCOMA, SYNOVIAL (OMIM:300813)"
"SSX2 (6757)","SARCOMA, SYNOVIAL (OMIM:300813)"
"ST14 (6768)","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:602400)"
"STAR (6770)","LIPOID CONGENITAL ADRENAL HYPERPLASIA (OMIM:201710)"
"NAGS (162417)","N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY (OMIM:237310)"
"STAT1 (6772)","IMMUNODEFICIENCY 31A (OMIM:614892), MYCOBACTERIAL AND VIRAL INFECTIONS, SUSC... (OMIM:613796), IMMUNODEFICIENCY 31C (OMIM:614162)"
"STAT3 (6774)","AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTI... (OMIM:615952), HYPER-IGE RECURRENT INFECTION SYNDROME, ... (OMIM:147060)"
"STAT5B (6777)","GROWTH HORMONE INSENSITIVITY WITH IMMUNO... (OMIM:245590)"
"MAPK8IP3 (23162)","MITOGEN-ACTIVATED PROTEIN KINASE 8-INTER... (OMIM:605431)"
